"AIQ","HCI","SD","BF","NAOS","EL","NI","AGNT"
45.0,0.5,23.2,BF20,20,3k,3000,H_l#1
45.2,0.4,22.0,BF20,20,3k,3000,H_l#2
46.1,0.4,22.5,BF20,20,3k,3000,H_l#3
41.9,0.5,23.0,BF20,20,3k,3000,H_l#4
38.0,0.4,22.8,BF20,20,3k,3000,H_l#5
14.9,0.9,14.7,BF20,20,3k,3000,MC_AIXI#1
34.9,1.0,15.9,BF20,20,3k,3000,MC_AIXI#2
16.8,1.0,16.7,BF20,20,3k,3000,MC_AIXI#3
28.6,0.8,12.5,BF20,20,3k,3000,MC_AIXI#4
25.1,0.7,11.5,BF20,20,3k,3000,MC_AIXI#5
39.7,0.4,20.4,BF20,20,3k,3000,Q_l#1
39.6,0.4,20.6,BF20,20,3k,3000,Q_l#2
37.3,0.4,21.1,BF20,20,3k,3000,Q_l#3
32.8,0.4,20.7,BF20,20,3k,3000,Q_l#4
30.7,0.4,21.0,BF20,20,3k,3000,Q_l#5
36.7,0.4,20.0,BF20,20,3k,3000,Q_0#1
36.3,0.4,20.9,BF20,20,3k,3000,Q_0#2
34.8,0.4,20.6,BF20,20,3k,3000,Q_0#3
30.6,0.4,19.7,BF20,20,3k,3000,Q_0#4
27.8,0.4,19.8,BF20,20,3k,3000,Q_0#5
45.5,0.4,22.2,BF20,20,30k,30000,Freq#1
46.8,0.4,22.3,BF20,20,30k,30000,Freq#2
47.2,0.4,22.3,BF20,20,30k,30000,Freq#3
47.1,0.4,22.0,BF20,20,30k,30000,Freq#4
46.5,0.4,21.6,BF20,20,30k,30000,Freq#5
52.0,0.5,23.6,BF20,20,30k,30000,H_l#1
49.5,0.4,21.9,BF20,20,30k,30000,H_l#2
51.1,0.4,22.5,BF20,20,30k,30000,H_l#3
52.0,0.5,24.4,BF20,20,30k,30000,H_l#4
50.3,0.5,25.0,BF20,20,30k,30000,H_l#5
22.6,1.3,20.4,BF20,20,30k,30000,MC_AIXI#1
42.2,1.3,20.3,BF20,20,30k,30000,MC_AIXI#2
27.1,1.5,23.6,BF20,20,30k,30000,MC_AIXI#3
39.5,1.1,18.4,BF20,20,30k,30000,MC_AIXI#4
34.0,0.8,13.3,BF20,20,30k,30000,MC_AIXI#5
46.1,0.4,20.8,BF20,20,30k,30000,Q_l#1
46.5,0.4,21.2,BF20,20,30k,30000,Q_l#2
47.1,0.4,22.6,BF20,20,30k,30000,Q_l#3
44.8,0.5,23.4,BF20,20,30k,30000,Q_l#4
39.9,0.5,23.1,BF20,20,30k,30000,Q_l#5
43.3,0.4,20.7,BF20,20,30k,30000,Q_0#1
44.3,0.4,21.3,BF20,20,30k,30000,Q_0#2
44.6,0.4,22.1,BF20,20,30k,30000,Q_0#3
42.6,0.4,22.9,BF20,20,30k,30000,Q_0#4
37.9,0.4,22.3,BF20,20,30k,30000,Q_0#5
28.2,0.6,28.4,BF02,2,1k,1000,Freq#1
31.2,0.5,27.6,BF02,2,1k,1000,Freq#2
34.6,0.5,26.5,BF02,2,1k,1000,Freq#3
36.6,0.5,25.0,BF02,2,1k,1000,Freq#4
38.2,0.5,24.4,BF02,2,1k,1000,Freq#5
55.9,0.4,19.5,BF02,2,1k,1000,H_l#1
54.9,0.4,18.8,BF02,2,1k,1000,H_l#2
54.7,0.4,19.2,BF02,2,1k,1000,H_l#3
56.5,0.4,20.8,BF02,2,1k,1000,H_l#4
56.9,0.4,21.7,BF02,2,1k,1000,H_l#5
45.0,1.6,26.5,BF02,2,1k,1000,MC_AIXI#1
54.1,1.2,19.9,BF02,2,1k,1000,MC_AIXI#2
44.0,1.4,22.9,BF02,2,1k,1000,MC_AIXI#3
53.8,1.2,19.1,BF02,2,1k,1000,MC_AIXI#4
51.9,1.2,18.9,BF02,2,1k,1000,MC_AIXI#5
52.4,0.4,18.7,BF02,2,1k,1000,Q_l#1
53.6,0.4,18.8,BF02,2,1k,1000,Q_l#2
55.0,0.4,19.4,BF02,2,1k,1000,Q_l#3
55.6,0.4,21.5,BF02,2,1k,1000,Q_l#4
55.6,0.5,23.3,BF02,2,1k,1000,Q_l#5
50.5,0.4,18.8,BF02,2,1k,1000,Q_0#1
51.6,0.4,19.2,BF02,2,1k,1000,Q_0#2
52.8,0.4,20.5,BF02,2,1k,1000,Q_0#3
53.5,0.4,22.2,BF02,2,1k,1000,Q_0#4
53.6,0.5,23.4,BF02,2,1k,1000,Q_0#5
41.4,0.5,26.0,BF02,2,10k,10000,Freq#1
45.3,0.5,25.0,BF02,2,10k,10000,Freq#2
46.5,0.5,23.9,BF02,2,10k,10000,Freq#3
46.9,0.5,23.3,BF02,2,10k,10000,Freq#4
45.9,0.4,22.3,BF02,2,10k,10000,Freq#5
56.8,0.4,19.5,BF02,2,10k,10000,H_l#1
55.3,0.4,18.7,BF02,2,10k,10000,H_l#2
55.6,0.4,19.0,BF02,2,10k,10000,H_l#3
57.5,0.4,19.7,BF02,2,10k,10000,H_l#4
57.8,0.4,20.0,BF02,2,10k,10000,H_l#5
47.2,1.8,28.3,BF02,2,10k,10000,MC_AIXI#1
56.1,1.3,21.5,BF02,2,10k,10000,MC_AIXI#2
45.5,1.5,23.6,BF02,2,10k,10000,MC_AIXI#3
57.4,1.3,21.4,BF02,2,10k,10000,MC_AIXI#4
54.7,1.2,19.3,BF02,2,10k,10000,MC_AIXI#5
53.0,0.4,18.1,BF02,2,10k,10000,Q_l#1
54.0,0.4,18.5,BF02,2,10k,10000,Q_l#2
55.6,0.4,19.2,BF02,2,10k,10000,Q_l#3
57.0,0.4,19.9,BF02,2,10k,10000,Q_l#4
57.7,0.4,20.6,BF02,2,10k,10000,Q_l#5
51.1,0.4,18.1,BF02,2,10k,10000,Q_0#1
52.4,0.4,18.6,BF02,2,10k,10000,Q_0#2
53.8,0.4,19.2,BF02,2,10k,10000,Q_0#3
55.3,0.4,19.9,BF02,2,10k,10000,Q_0#4
55.8,0.4,20.8,BF02,2,10k,10000,Q_0#5
50.3,0.4,22.6,BF02,2,100k,100000,Freq#1
50.4,0.4,21.6,BF02,2,100k,100000,Freq#2
49.9,0.4,21.2,BF02,2,100k,100000,Freq#3
49.6,0.4,20.0,BF02,2,100k,100000,Freq#4
48.6,0.4,19.4,BF02,2,100k,100000,Freq#5
56.6,0.4,19.3,BF02,2,100k,100000,H_l#1
55.0,0.4,18.6,BF02,2,100k,100000,H_l#2
