"AIQ","HCI","SD","BF","NOC","EL","NI","AGNT"
52.0,0.5,23.7,BF52,2,3k,3000,H_l#3
50.6,0.5,24.8,BF52,2,3k,3000,H_l#4
47.1,0.5,25.1,BF52,2,3k,3000,H_l#5
46.7,1.2,20.1,BF52,2,3k,3000,MC_AIXI#1
47.4,1.2,19.9,BF52,2,3k,3000,MC_AIXI#2
46.4,1.2,19.9,BF52,2,3k,3000,MC_AIXI#3
42.6,1.1,18.3,BF52,2,3k,3000,MC_AIXI#4
40.2,1.1,17.6,BF52,2,3k,3000,MC_AIXI#5
47.2,0.4,21.0,BF52,2,3k,3000,Q_l#1
47.8,0.4,21.6,BF52,2,3k,3000,Q_l#2
47.9,0.4,22.7,BF52,2,3k,3000,Q_l#3
45.4,0.5,24.7,BF52,2,3k,3000,Q_l#4
43.0,0.5,25.9,BF52,2,3k,3000,Q_l#5
45.1,0.4,20.3,BF52,2,3k,3000,Q_0#1
46.5,0.4,21.5,BF52,2,3k,3000,Q_0#2
46.9,0.5,23.0,BF52,2,3k,3000,Q_0#3
43.9,0.5,24.4,BF52,2,3k,3000,Q_0#4
40.2,0.5,24.5,BF52,2,3k,3000,Q_0#5
45.6,0.5,24.1,BF52,2,30k,30000,Freq#1
46.4,0.4,22.8,BF52,2,30k,30000,Freq#2
46.7,0.5,23.4,BF52,2,30k,30000,Freq#3
46.5,0.5,23.0,BF52,2,30k,30000,Freq#4
46.1,0.4,22.6,BF52,2,30k,30000,Freq#5
54.6,0.4,22.3,BF52,2,30k,30000,H_l#1
51.7,0.4,20.9,BF52,2,30k,30000,H_l#2
53.3,0.4,21.7,BF52,2,30k,30000,H_l#3
55.3,0.5,24.4,BF52,2,30k,30000,H_l#4
54.8,0.5,24.9,BF52,2,30k,30000,H_l#5
52.4,1.4,22.5,BF52,2,30k,30000,MC_AIXI#1
52.4,1.3,21.6,BF52,2,30k,30000,MC_AIXI#2
52.9,1.4,23.2,BF52,2,30k,30000,MC_AIXI#3
49.3,1.3,21.2,BF52,2,30k,30000,MC_AIXI#4
46.6,1.2,19.0,BF52,2,30k,30000,MC_AIXI#5
48.0,0.4,19.2,BF52,2,30k,30000,Q_l#1
49.3,0.4,20.8,BF52,2,30k,30000,Q_l#2
51.8,0.4,22.0,BF52,2,30k,30000,Q_l#3
53.0,0.5,23.4,BF52,2,30k,30000,Q_l#4
51.6,0.5,23.6,BF52,2,30k,30000,Q_l#5
46.0,0.4,18.8,BF52,2,30k,30000,Q_0#1
48.0,0.4,19.5,BF52,2,30k,30000,Q_0#2
50.2,0.4,20.3,BF52,2,30k,30000,Q_0#3
51.9,0.5,23.1,BF52,2,30k,30000,Q_0#4
50.8,0.5,23.3,BF52,2,30k,30000,Q_0#5
38.8,0.5,24.6,BF53,3,1k,1000,Freq#1
38.7,0.5,23.4,BF53,3,1k,1000,Freq#2
39.1,0.5,23.0,BF53,3,1k,1000,Freq#3
39.0,0.4,22.6,BF53,3,1k,1000,Freq#4
38.6,0.4,22.2,BF53,3,1k,1000,Freq#5
47.7,0.5,23.7,BF53,3,1k,1000,H_l#1
48.6,0.4,22.6,BF53,3,1k,1000,H_l#2
48.7,0.4,22.6,BF53,3,1k,1000,H_l#3
44.1,0.5,24.6,BF53,3,1k,1000,H_l#4
41.8,0.5,25.2,BF53,3,1k,1000,H_l#5
1.7,0.5,8.5,BF53,3,1k,1000,MC_AIXI#1
37.5,1.0,16.8,BF53,3,1k,1000,MC_AIXI#2
3.4,0.5,7.3,BF53,3,1k,1000,MC_AIXI#3
30.5,0.9,15.1,BF53,3,1k,1000,MC_AIXI#4
33.6,0.9,13.9,BF53,3,1k,1000,MC_AIXI#5
44.4,0.4,20.7,BF53,3,1k,1000,Q_l#1
44.6,0.4,21.5,BF53,3,1k,1000,Q_l#2
44.0,0.5,23.4,BF53,3,1k,1000,Q_l#3
41.7,0.5,24.6,BF53,3,1k,1000,Q_l#4
41.1,0.5,24.7,BF53,3,1k,1000,Q_l#5
42.0,0.4,20.0,BF53,3,1k,1000,Q_0#1
42.4,0.4,21.5,BF53,3,1k,1000,Q_0#2
41.9,0.4,22.5,BF53,3,1k,1000,Q_0#3
39.5,0.5,23.8,BF53,3,1k,1000,Q_0#4
38.6,0.5,24.2,BF53,3,1k,1000,Q_0#5
43.5,0.5,24.2,BF53,3,10k,10000,Freq#1
44.7,0.5,24.1,BF53,3,10k,10000,Freq#2
44.6,0.5,23.4,BF53,3,10k,10000,Freq#3
44.9,0.5,23.1,BF53,3,10k,10000,Freq#4
44.4,0.4,22.4,BF53,3,10k,10000,Freq#5
54.5,0.5,24.0,BF53,3,10k,10000,H_l#1
51.9,0.4,22.3,BF53,3,10k,10000,H_l#2
53.2,0.5,23.2,BF53,3,10k,10000,H_l#3
54.6,0.5,24.4,BF53,3,10k,10000,H_l#4
53.3,0.5,24.9,BF53,3,10k,10000,H_l#5
5.0,0.9,14.4,BF53,3,10k,10000,MC_AIXI#1
50.0,1.4,23.0,BF53,3,10k,10000,MC_AIXI#2
9.6,0.8,13.5,BF53,3,10k,10000,MC_AIXI#3
50.2,1.4,21.9,BF53,3,10k,10000,MC_AIXI#4
47.1,1.3,20.2,BF53,3,10k,10000,MC_AIXI#5
47.5,0.4,20.0,BF53,3,10k,10000,Q_l#1
48.6,0.4,20.5,BF53,3,10k,10000,Q_l#2
51.0,0.4,22.1,BF53,3,10k,10000,Q_l#3
51.3,0.5,23.4,BF53,3,10k,10000,Q_l#4
48.9,0.5,24.5,BF53,3,10k,10000,Q_l#5
45.4,0.4,19.5,BF53,3,10k,10000,Q_0#1
47.6,0.4,20.2,BF53,3,10k,10000,Q_0#2
49.5,0.4,21.4,BF53,3,10k,10000,Q_0#3
49.9,0.5,23.2,BF53,3,10k,10000,Q_0#4
47.7,0.5,24.2,BF53,3,10k,10000,Q_0#5
48.5,0.5,25.0,BF53,3,100k,100000,Freq#1
49.0,0.5,24.6,BF53,3,100k,100000,Freq#2
48.9,0.5,24.0,BF53,3,100k,100000,Freq#3
48.4,0.5,23.9,BF53,3,100k,100000,Freq#4
47.9,0.5,23.3,BF53,3,100k,100000,Freq#5
55.2,0.5,23.9,BF53,3,100k,100000,H_l#1
52.0,0.4,22.1,BF53,3,100k,100000,H_l#2
53.7,0.5,23.3,BF53,3,100k,100000,H_l#3
56.4,0.5,24.6,BF53,3,100k,100000,H_l#4
56.5,0.5,24.8,BF53,3,100k,100000,H_l#5
7.7,1.1,17.3,BF53,3,100k,100000,MC_AIXI#1
51.9,1.5,23.8,BF53,3,100k,100000,MC_AIXI#2
